county_extension_office_id,zip_code_id
1,564
1,535
1,566
1,537
1,563
1,539
1,549
1,569
2,560
2,596
2,589
2,582
2,597
3,535
3,559
3,562
3,539
4,616
4,702
4,715
4,688
4,712
4,689
5,476
5,439
5,441
5,458
5,474
5,459
6,288
6,258
6,291
6,275
6,276
6,257
6,296
6,313
6,299
6,268
6,333
7,347
7,325
7,5
7,354
7,323
7,263
7,292
7,343
8,80
8,110
8,63
8,78
8,96
8,88
8,79
8,105
8,64
8,89
8,114
8,62
8,115
9,655
9,625
9,640
9,472
9,412
10,624
10,652
10,599
10,635
10,595
10,580
10,593
11,495
11,493
11,428
11,453
11,488
11,463
11,487
11,491
11,496
11,489
11,490
11,492
11,497
12,425
12,462
12,443
12,421
12,420
12,431
13,561
13,722
13,551
13,534
13,564
13,550
13,570
13,571
14,576
14,636
14,583
14,643
14,598
14,584
14,585
14,594
15,502
15,509
15,499
16,238
16,237
16,244
16,502
16,509
16,245
16,223
16,246
16,232
16,226
16,222
16,249
17,233
17,394
17,242
17,230
17,403
17,387
17,247
17,227
17,234
17,395
18,139
18,146
18,134
18,127
18,437
19,688
19,712
19,717
19,707
19,703
19,704
19,713
20,565
20,570
20,573
20,555
20,722
20,571
20,574
21,232
21,224
21,249
21,238
22,104
22,113
22,111
22,69
22,116
22,70
22,77
22,75
22,112
22,76
22,117
23,377
23,360
23,383
23,359
23,375
23,373
24,720
24,722
24,568
24,561
25,530
25,527
25,531
25,522
25,523
25,521
25,529
25,526
25,519
25,499
25,514
25,528
25,520
25,517
25,510
25,524
25,525
25,518
26,659
26,723
26,684
27,65
27,382
27,369
27,368
27,379
27,98
28,68
28,73
28,120
28,62
28,2
28,118
28,74
28,72
28,119
28,279
28,114
28,15
28,47
28,115
28,91
29,315
29,320
29,317
29,325
29,355
29,316
29,318
29,319
29,321
29,339
30,695
30,696
30,709
30,714
30,701
30,707
30,708
31,164
31,169
31,171
31,161
31,142
31,141
31,126
31,140
31,198
31,137
31,158
31,136
31,172
31,211
32,597
32,601
32,720
32,586
32,588
32,589
32,581
33,4
33,41
33,42
33,62
33,84
33,39
33,203
33,47
33,51
33,118
33,93
33,67
33,38
33,101
33,40
33,94
33,99
33,95
33,202
33,83
33,90
33,66
34,548
34,635
34,582
34,655
34,597
34,546
34,572
34,545
34,562
34,560
34,536
34,540
34,596
34,547
35,630
35,649
35,629
35,620
35,631
35,632
35,636
35,622
35,644
35,593
35,626
35,623
35,643
35,641
35,634
36,392
36,385
36,393
36,410
36,409
36,390
36,401
37,600
37,579
37,593
37,587
38,152
38,159
38,130
38,147
38,154
38,128
38,160
38,153
38,155
38,156
38,138
39,438
39,463
39,453
39,424
39,452
39,471
39,417
40,654
40,467
40,472
40,611
40,422
40,482
40,423
40,612
41,380
41,381
41,369
41,374
41,384
42,278
42,15
42,91
42,281
42,92
42,279
43,692
43,617
43,691
43,718
43,693
43,697
43,700
43,690
43,702
44,18
44,23
44,55
44,36
44,56
44,164
44,169
44,194
44,204
44,199
44,215
44,208
44,24
44,200
44,17
44,12
44,16
44,19
44,50
44,178
44,52
44,180
44,206
44,209
44,21
44,190
44,6
44,59
44,201
44,205
44,1
44,20
44,37
44,53
44,179
44,22
44,46
44,189
44,54
44,193
45,444
45,443
45,432
45,457
45,419
45,420
45,421
45,431
45,470
46,467
46,416
46,482
46,465
46,443
46,460
46,481
46,423
46,466
47,605
47,616
47,627
47,704
47,606
47,608
47,603
47,604
47,646
47,607
48,86
48,116
48,84
48,117
48,67
48,85
48,112
48,87
49,711
49,688
49,694
49,695
49,696
49,702
49,689
49,706
50,724
50,586
50,601
50,720
50,592
51,512
51,499
51,525
51,500
51,504
51,515
51,236
52,335
52,334
52,326
52,345
53,233
53,231
53,413
53,451
53,251
53,232
53,218
53,243
53,237
53,252
53,249
53,226
53,234
54,239
54,228
54,224
54,223
54,238
54,225
55,260
55,297
55,309
55,285
55,269
55,300
55,261
56,165
56,125
56,124
56,142
56,126
56,157
56,122
56,159
57,379
57,82
57,65
57,81
57,97
57,98
57,103
57,356
57,63
57,64
57,96
57,106
57,102
57,370
58,68
58,279
58,255
58,15
58,14
58,25
58,61
58,2
59,276
59,295
59,267
59,268
59,313
59,345
59,333
59,262
59,298
59,282
60,190
60,213
60,174
60,125
60,2
60,13
60,189
60,197
60,181
60,48
60,195
60,211
60,210
60,3
60,187
60,186
60,183
60,192
60,212
60,179
60,193
60,215
60,191
60,173
60,177
60,175
60,185
60,184
60,199
60,171
60,217
60,14
60,214
60,207
60,196
60,47
60,61
60,156
60,182
60,176
60,216
60,124
60,166
60,188
64,279
64,281
64,269
64,284
64,107
64,358
64,261
64,283
65,400
65,386
65,398
65,402
65,391
66,542
66,543
66,541
66,571
66,551
66,544
66,567
67,89
67,372
67,107
67,356
67,357
67,371
67,378
67,63
67,105
67,370
68,634
68,699
68,718
68,698
68,648
68,617
68,700
68,637
69,350
69,341
69,352
69,353
69,337
69,332
70,31
70,323
70,6
70,14
70,11
70,61
70,60
70,57
70,5
70,263
70,292
70,28
70,264
70,32
70,44
70,265
70,58
70,354
70,27
70,29
70,53
70,215
70,26
70,49
70,45
70,24
70,30
70,55
70,266
70,379
71,257
71,258
71,277
71,313
71,308
71,280
71,302
71,270
72,296
72,266
72,254
72,288
72,257
72,253
72,256
72,273
72,306
72,265
72,292
72,305
72,278
72,277
72,311
72,263
72,255
72,286
72,274
72,287
72,303
73,476
73,398
73,459
73,353
73,477
74,71
74,70
74,113
74,100
74,108
74,111
75,663
75,658
75,674
75,672
75,662
75,661
75,676
75,678
75,668
75,669
75,675
76,334
76,326
76,262
76,345
76,295
76,267
76,335
76,338
77,143
77,128
77,104
77,138
77,153
77,69
78,146
78,169
78,158
78,148
78,139
78,136
78,161
79,417
79,436
79,486
79,414
79,478
79,464
79,450
79,434
79,438
79,443
79,481
80,645
80,624
80,618
80,536
80,655
80,640
80,635
80,625
81,325
81,292
81,354
81,276
81,304
81,347
81,306
81,299
81,263
81,275
81,293
81,321
81,311
81,339
81,288
81,315
82,475
82,34
82,445
82,461
82,433
82,35
82,8
83,545
83,535
83,540
83,549
84,386
84,404
84,230
84,221
84,395
84,397
84,391
84,252
84,400
85,226
85,242
85,234
85,241
85,233
86,451
86,221
86,484
86,413
86,479
86,442
86,252
87,459
87,445
87,441
87,496
87,440
87,439
87,449
88,150
88,149
88,163
88,485
88,170
88,424
88,121
88,134
89,599
89,591
89,595
89,578
89,589
89,601
90,431
90,430
90,435
90,468
90,447
90,419
90,418
90,240
90,444
90,229
90,427
90,413
90,420
90,220
90,429
90,462
90,484
91,642
91,616
91,704
91,621
91,608
91,627
91,628
92,508
92,498
92,505
92,507
92,719
92,503
92,506
92,511
93,349
93,396
94,498
94,228
94,507
94,719
95,576
95,590
95,602
95,592
95,575
95,578
95,577
95,591
95,587
95,599
95,589
96,274
96,303
96,260
96,278
96,279
100,393
100,389
100,401
100,399
100,385
100,402
101,511
101,516
101,513
101,501
97,469
97,610
97,438
97,660
97,446
97,481
97,455
97,473
97,464
97,460
98,355
98,326
98,315
98,304
98,329
98,333
98,345
98,330
98,328
98,339
98,276
99,456
99,657
99,656
99,670
102,131
102,130
102,666
102,168
102,159
102,144
102,668
102,129
102,675
102,138
102,147
103,702
103,706
103,695
103,710
103,689
104,617
104,641
104,622
104,629
104,637
104,613
104,606
105,485
105,121
105,424
105,497
105,463
105,494
105,437
105,449
106,219
106,248
106,235
106,251
106,250
106,243
107,324
107,34
107,327
107,346
107,35
107,341
107,336
108,372
108,365
108,283
108,361
108,358
108,362
109,682
109,686
109,683
109,680
109,687
109,721
109,723
109,662
109,681
109,685
109,674
109,656
109,658
110,34
110,35
110,7
110,9
110,8
110,32
110,461
110,10
110,43
110,59
110,33
111,317
111,354
111,325
111,324
111,320
111,322
111,352
111,347
112,330
112,328
112,322
112,340
112,331
112,344
112,350
112,329
112,348
112,355
113,101
113,84
113,111
113,78
113,100
113,85
113,90
113,110
113,112
114,417
114,438
114,469
114,464
115,91
115,92
115,109
115,89
115,68
115,107
115,279
115,283
115,281
115,371
115,114
116,534
116,535
116,559
116,538
116,564
116,539
117,151
117,150
117,163
117,167
117,149
117,123
117,134
117,170
118,81
118,106
118,82
118,100
118,97
118,110
118,64
118,71
119,443
119,432
119,466
119,421
119,481
120,433
120,327
120,445
120,341
120,459
121,709
121,714
122,272
122,301
122,294
122,270
122,271
122,310
122,307
122,312
123,714
123,708
123,701
123,703
123,717
123,707
124,407
124,394
124,410
124,408
124,406
124,392
124,411
124,405
124,387
125,32
125,10
125,161
125,37
125,7
125,59
125,24
125,148
125,6
125,169
126,660
126,614
126,610
126,473
126,456
126,657
127,227
127,236
127,247
127,234
127,241
128,706
128,710
128,697
128,711
129,167
129,132
129,135
129,146
129,136
129,134
129,122
129,133
130,298
130,282
130,313
131,667
131,671
131,665
131,714
131,709
131,659
132,621
132,642
132,609
132,628
132,614
132,619
132,638
132,610
133,679
133,676
133,673
133,666
133,672
133,664
133,656
134,332
134,351
134,344
134,353
134,350
135,225
135,228
135,223
135,231
135,239
135,224
136,473
136,664
136,415
136,456
136,446
136,469
137,552
137,557
137,470
137,444
137,457
137,556
138,704
138,712
138,705
138,616
138,716
138,717
139,584
139,636
139,615
139,629
139,620
139,648
139,634
139,637
139,699
139,647
140,612
140,653
140,645
140,593
140,618
140,652
140,651
140,650
140,649
140,624
141,239
141,231
141,251
141,250
142,272
142,314
142,290
143,251
143,231
143,248
143,243
143,413
144,668
144,128
144,678
144,144
144,138
144,143
144,145
144,130
145,612
145,611
145,645
145,640
145,644
146,428
146,448
146,496
146,421
146,425
146,439
147,314
147,300
147,309
147,260
147,259
148,121
148,485
148,424
148,163
148,162
148,149
148,151
149,375
149,380
149,382
149,379
149,377
149,374
149,367
149,378
149,376
149,359
149,366
149,373
149,369
150,33
150,32
150,343
150,323
150,6
150,8
150,342
150,336
150,341
150,346
151,560
151,562
151,533
151,532
151,534
151,720
151,558
151,582
152,400
152,388
152,399
152,398
152,402
152,391
152,477
152,401
153,221
153,398
153,479
153,484
153,483
153,474
153,442
153,426
153,476
154,563
154,566
154,554
154,551
154,539
154,553
155,670
155,677
155,638
155,671
155,716
155,657
156,229
156,556
156,444
156,220
157,303
157,270
157,308
157,273
157,274
157,296
157,289
157,278
158,365
158,376
158,364
158,360
158,372
158,363
158,373
158,383
159,482
159,472
159,467
159,466
159,412
159,423
159,625
160,332
160,351
160,344
160,349
160,396
161,439
161,448
161,447
161,459
161,480
161,430
161,462
161,454
161,425
162,639
162,653
162,654
162,612
162,622
162,606
162,611
162,632
162,630
162,646
162,644
162,633
162,649
8,0
8,0
11,0
11,0
11,0
15,0
18,0
18,0
20,0
23,0
25,0
25,0
25,0
25,0
28,0
28,0
28,0
28,0
29,0
31,0
31,0
31,0
31,0
31,0
31,0
31,0
33,0
33,0
33,0
33,0
33,0
33,0
33,0
33,0
33,0
33,0
36,0
38,0
44,0
44,0
44,0
44,0
44,0
44,0
44,0
44,0
44,0
44,0
44,0
44,0
47,0
48,0
48,0
48,0
55,0
57,0
58,0
58,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
66,0
66,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
72,0
75,0
78,0
78,0
78,0
78,0
79,0
79,0
87,0
88,0
91,0
92,0
95,0
97,0
105,0
105,0
107,0
109,0
109,0
109,0
110,0
110,0
113,0
113,0
124,0
124,0
124,0
124,0
126,0
129,0
139,0
149,0
150,0
150,0
154,0
158,0
